# CJK Vocabulary Breakdown
# Total: 1565 tokens
# Generated from IDS decomposition database

## shared_base (4 tokens) — ASCII printable
0020	' '
0028	'('
0029	')'
005F	'_'

## kana (177 tokens) — Hiragana + Katakana
3041	ぁ
3042	あ
3043	ぃ
3044	い
3045	ぅ
3046	う
3047	ぇ
3048	え
3049	ぉ
304A	お
304B	か
304C	が
304D	き
304E	ぎ
304F	く
3050	ぐ
3051	け
3052	げ
3053	こ
3054	ご
3055	さ
3056	ざ
3057	し
3058	じ
3059	す
305A	ず
305B	せ
305C	ぜ
305D	そ
305E	ぞ
305F	た
3060	だ
3061	ち
3062	ぢ
3063	っ
3064	つ
3065	づ
3066	て
3067	で
3068	と
3069	ど
306A	な
306B	に
306C	ぬ
306D	ね
306E	の
306F	は
3070	ば
3071	ぱ
3072	ひ
3073	び
3074	ぴ
3075	ふ
3076	ぶ
3077	ぷ
3078	へ
3079	べ
307A	ぺ
307B	ほ
307C	ぼ
307D	ぽ
307E	ま
307F	み
3080	む
3081	め
3082	も
3083	ゃ
3084	や
3085	ゅ
3086	ゆ
3087	ょ
3088	よ
3089	ら
308A	り
308B	る
308C	れ
308D	ろ
308E	ゎ
308F	わ
3090	ゐ
3091	ゑ
3092	を
3093	ん
3094	ゔ
3095	ゕ
3096	ゖ
30A1	ァ
30A2	ア
30A3	ィ
30A4	イ
30A5	ゥ
30A6	ウ
30A7	ェ
30A8	エ
30A9	ォ
30AA	オ
30AB	カ
30AC	ガ
30AD	キ
30AE	ギ
30AF	ク
30B0	グ
30B1	ケ
30B2	ゲ
30B3	コ
30B4	ゴ
30B5	サ
30B6	ザ
30B7	シ
30B8	ジ
30B9	ス
30BA	ズ
30BB	セ
30BC	ゼ
30BD	ソ
30BE	ゾ
30BF	タ
30C0	ダ
30C1	チ
30C2	ヂ
30C3	ッ
30C4	ツ
30C5	ヅ
30C6	テ
30C7	デ
30C8	ト
30C9	ド
30CA	ナ
30CB	ニ
30CC	ヌ
30CD	ネ
30CE	ノ
30CF	ハ
30D0	バ
30D1	パ
30D2	ヒ
30D3	ビ
30D4	ピ
30D5	フ
30D6	ブ
30D7	プ
30D8	ヘ
30D9	ベ
30DA	ペ
30DB	ホ
30DC	ボ
30DD	ポ
30DE	マ
30DF	ミ
30E0	ム
30E1	メ
30E2	モ
30E3	ャ
30E4	ヤ
30E5	ュ
30E6	ユ
30E7	ョ
30E8	ヨ
30E9	ラ
30EA	リ
30EB	ル
30EC	レ
30ED	ロ
30EE	ヮ
30EF	ワ
30F0	ヰ
30F1	ヱ
30F2	ヲ
30F3	ン
30F4	ヴ
30F5	ヵ
30F6	ヶ
30F7	ヷ
30F8	ヸ
30F9	ヹ
30FA	ヺ
30FB	・

## cjk_punctuation (82 tokens)
00B7	·
2014	—
2015	―
201C	“
201D	”
2020	†
2026	…
2033	″
203B	※
203E	‾
3001	、
3002	。
3005	々
3006	〆
3008	〈
3009	〉
300A	《
300B	》
300C	「
300D	」
300E	『
300F	』
3010	【
3011	】
3014	〔
3015	〕
301C	〜
301D	〝
301E	〞
301F	〟
FE30	︰
FF01	！
FF05	％
FF06	＆
FF08	（
FF09	）
FF0B	＋
FF0C	，
FF0D	－
FF0F	／
FF1A	：
FF1B	；
FF1D	＝
