র	2007585	1
ক	1539183	1
ন	1410398	1
ৰ	1051464	1
ত	920208	1
ল	909672	1
।	848669	1
স	789510	1
এ	784392	1
য়	754354	2
ম	748282	1
ই	716569	1
ব	659368	1
প	657377	1
আ	639283	1
হ	586227	1
অ	541468	1
বি	503787	2
কা	479355	2
জ	429012	1
মা	416992	2
উ	393563	1
নি	390973	2
বা	389345	2
১	384808	1
না	377186	2
তা	371879	2
রে	371088	2
তি	368975	2
য়া	357485	3
ও	352475	1
গ	346668	1
সা	345180	2
রা	340629	2
তে	339513	2
লে	339446	2
শ	329389	1
লা	326171	2
কে	323470	2
টি	301597	2
য়ে	293837	3
নে	286372	2
দ	283549	1
ভা	276235	2
০	271384	1
পা	262021	2
দে	261117	2
চ	254527	1
ৰা	243885	2
লি	242472	2
বে	241985	2
৯	236601	1
প্র	228271	3
হা	225544	2
ণ	225433	1
রি	222520	2
ছি	213692	2
২	212653	1
ৰি	198521	2
-	182678	1
ট	173883	1
সে	172740	2
ৰু	167898	2
ছে	165009	2
হি	163808	2
দি	162382	2
জা	161953	2
মি	157122	2
বং	154093	2
যা	152723	2
সং	152267	2
মে	150261	2
শি	146465	2
খ	138846	1
ছ	134136	1
টা	131468	2
দা	129965	2
প্ৰ	126854	3
চা	123094	2
ভি	122824	2
ষ	122390	1
লো	122018	2
ৱ	118864	1
নী	118120	2
পু	117008	2
ৰে	116666	2
৮	116349	1
কি	115316	2
৫	108577	1
থ	105240	1
নু	104511	2
ধা	104182	2
খা	100704	2
গু	100198	2
থে	98280	2
৭	97462	1
৬	96398	1
ৱা	94203	2
ব্য	92836	3
৩	92416	1
শে	92243	2
সি	91810	2
৪	91489	1
জে	91136	2
চি	90086	2
ধ	89468	1
মু	89412	2
ফ	87462	1
তী	86276	2
কো	86272	2
ভ	84990	1
শা	84126	2
ন্য	83264	3
জি	83024	2
স্থা	80240	4
থা	79375	2
যো	78868	2
গা	78545	2
ন্ত	76466	3
পে	74532	2
ওঁ	73559	2
ক্ষ	70800	3
ত্র	70545	3
পি	70013	2
যে	67905	2
ৎ	67593	1
রু	66617	2
ডি	66453	2
মূ	65814	2
যু	65554	2
রী	63983	2
লী	63045	2
নো	61951	2
ক্ত	61522	3
ক্তি	61067	4
প্রা	60705	4
দু	60677	2
সু	60465	2
লৈ	56986	2
হৈ	56656	2
খে	55833	2
গে	55155	2
টে	54602	2
পূ	54501	2
ৰী	53663	2
ঘ	53324	1
ড	53152	1
কু	52216	2
জী	52130	2
রো	50930	2
ধি	48247	2
খ্যা	47873	4
বু	47824	2
দ্যা	47220	4
গো	46991	2
'	46907	1
শ্ব	46824	3
য	46510	1
তু	46351	2
চে	45978	2
ষা	45831	2
ত্ৰ	45519	3
ন্ন	45286	3
হে	45113	2
টো	44781	2
ত্ত	44649	3
ক্ষা	44327	4
শু	44071	2
ড়া	43329	3
বাং	42800	3
দী	41682	2
জ্ঞা	41499	4
কৃ	41231	2
ধ্য	41114	3
ছা	40446	2
ধ্যে	40084	4
ণে	39673	2
ণা	39645	2
জু	39258	2
ড়	39015	2
মো	39014	2
দ্ধ	38328	3
ন্যা	38120	4
সূ	37969	2
ম্ব	37242	3
মী	36894	2
ঞ্চ	36801	3
বো	36687	2
’	36639	1
ত্ব	36495	3
ত্য	35811	3
.	35797	1
ডে	35490	2
থ্য	34554	3
ফা	34310	2
ষ্ট	33997	3
ডা	33811	2
ফি	33678	2
ৱে	33328	2
হু	33217	2
ভূ	33197	2
বী	32490	2
গ্র	31700	3
হো	31649	2
চ্চি	31404	4
শী	31216	2
কী	30982	2
র্ব	30706	3
,	30682	1
ণি	30333	2
ষ্ঠা	30324	4
ম্প	30206	3
গী	29853	2
মৃ	29706	2
র্থ	29630	3
তো	29434	2
র্য	29402	3
ক্ষে	29130	4
পো	29047	2
ক্ষি	28577	4
ড়ি	28409	3
গ্ৰ	28233	3
ধী	27999	2
ছু	27931	2
ঠ	27655	1
স্বা	27570	4
সী	27475	2
গি	27450	2
বৃ	27434	2
ন্ম	27041	3
অ্	26855	2
ফে	26605	2
য়ো	26164	3
ব্যা	26156	4
য়ী	26046	3
প্ৰা	26016	4
লু	25745	2
স্তা	25464	4
ফু	25392	2
ল্প	25246	3
ন্দ	25015	3
স্ত	24643	3
স্থি	24542	4
ভে	24427	2
স্ব	24303	3
ণী	24183	2
খি	23822	2
ষ্টি	23805	4
ণ্ড	23648	3
র্ণ	23603	3
অং	23422	2
৷	23396	1
দ্বা	22602	4
চ্চ	22266	3
থি	22244	2
ধু	22216	2
ৰো	22082	2
গ্রা	21832	4
র্ত	21720	3
দ্য	21615	3
চু	21597	2
কৈ	21352	2
তৃ	21213	2
হী	21065	2
বৈ	21061	2
ত্যা	21027	4
ম্যা	20890	4
শ্চি	20643	4
ন্ড	20631	3
ঙ্গ	20568	3
ন্তু	20203	4
চী	20189	2
ঠি	20174	2
ঠা	19988	2
স্কা	19859	4
সো	19855	2
ড়ে	19823	3
ত্যু	19626	4
র্ম	19527	3
র্কি	19395	4
ইং	19189	2
ত্রে	19026	4
প্ত	18943	3
জ্য	18783	3
ত্তি	18713	4
স্ট	18150	3
প্রি	18135	4
খু	18132	2
ষ্টা	18075	4
ক্র	17863	3
স্য	17637	3
ন্দ্র	17491	5
ক্রি	17442	4
ক্যা	17408	4
সৈ	17262	2
ল্লে	17094	4
)	16569	1
ষ্ঠ	16469	3
য়ি	16145	3
ষে	16091	2
ম্পা	16065	4
ম্ভ	16036	3
যি	15959	2
ব্দ	15940	3
শো	15681	2
ল্যা	15425	4
দ্ধে	15314	4
পৃ	15193	2
ৰূ	15155	2
ঙ্গে	14935	4
র্শ	14806	3
র্মা	14792	4
র্বা	14791	4
ন্ধ	14754	3
দ্বি	14710	4
ক্স	14659	3
ৰ্ণ	14626	3
জো	14625	2
তৈ	14454	2
ঞ্জ	14441	3
নৈ	14427	2
ন্দু	14272	4
স্কৃ	14250	4
ন্ট	14244	3
ষ্ঠি	14123	4
ন্দি	14038	4
ৰ্থ	13927	3
গ্য	13726	3
রূ	13641	2
ন্স	13605	3
র্ড	13523	3
ধ্যা	13435	4
র্তী	13019	4
ঐ	12870	1
খ্রি	12657	4
‘	12567	1
ঘা	12500	2
র্ক	12491	3
ঙা	12479	2
ৰ্ম	12474	3
স্ক	12317	3
স্টা	12289	4
ষ্ট্র	12268	5
ৰ্য	12218	3
ম্পি	12191	4
স্তু	12107	4
ন্থ	12069	3
সৃ	12069	2
জ্যে	11998	4
