char	slot	match	score
拐	0	抚	0.9610
妓	0	坡	0.9738
檜	0	槍	0.9713
傭	0	偏	0.9684
贴	0	站	0.9597
愉	0	偷	0.9757
罢	0	異	0.9690
諜	0	謀	0.9865
宵	0	骨	0.9716
剌	0	刺	0.9828
迟	0	迈	0.9557
煎	0	漂	0.9632
馴	0	鵬	0.9392
泄	0	拱	0.9639
耆	0	掌	0.9681
哭	0	突	0.9563
鏈	0	鍵	0.9840
禎	0	積	0.9743
凭	0	氧	0.9523
臉	0	験	0.9699
喧	0	噶	0.9611
哨	0	削	0.9690
瞭	0	跨	0.9656
衷	0	表	0.9740
颱	0	胞	0.9591
俵	0	併	0.9718
侨	0	療	0.9646
弼	0	彈	0.9544
傲	0	做	0.9732
詮	0	誇	0.9622
滚	0	滾	0.9786
捻	0	龄	0.9665
遽	0	遊	0.9647
顛	0	頓	0.9710
扫	0	拝	0.9789
雰	0	赛	0.9587
厭	0	廠	0.9678
蛛	0	珠	0.9720
咀	0	坦	0.9708
瑰	0	塊	0.9856
赶	0	趙	0.9656
讐	0	鲁	0.9561
黏	0	膝	0.9679
夾	0	俠	0.9603
蝠	0	増	0.9716
纤	0	红	0.9659
舱	0	船	0.9548
舷	0	碰	0.9658
蔓	0	曼	0.9654
滕	1	膝	0.9775
询	0	拘	0.9693
顎	0	頭	0.9859
漿	0	獎	0.9827
稔	0	叙	0.9669
肆	0	擇	0.9694
揆	0	傑	0.9731
橡	0	稼	0.9730
娱	0	娛	0.9896
娠	0	痕	0.9706
璧	0	壁	0.9806
祷	0	祐	0.9660
纖	0	繊	0.9774
苫	0	苦	0.9889
傀	0	佛	0.9672
瘤	0	厳	0.9705
叠	0	肇	0.9329
曳	0	吏	0.9713
歪	0	盃	0.9654
廂	0	畑	0.9703
諫	1	謀	0.9769
殲	0	濃	0.9571
倪	0	悦	0.9717
拶	0	渉	0.9627
珂	0	铜	0.9625
憧	0	禮	0.9676
妄	0	妾	0.9584
睛	0	晴	0.9901
祚	0	许	0.9735
溢	0	浴	0.9660
芹	0	芦	0.9757
秉	0	乗	0.9781
酋	0	猶	0.9648
鸣	0	鳴	0.9546
勿	0	刃	0.9521
扭	0	理	0.9636
纺	0	约	0.9620
堯	0	憲	0.9483
陝	0	陕	0.9810
罵	0	駕	0.9625
涛	0	湊	0.9737
儡	0	儒	0.9561
赣	0	證	0.9599
鹰	0	應	0.9730
嵯	0	峙	0.9645
畝	0	蔵	0.9587
瑚	0	醐	0.9714
铭	0	轻	0.9715
焰	0	韵	0.9655
塌	0	環	0.9669
諧	0	詔	0.9676
玫	0	攻	0.9886
迭	0	送	0.9827
簧	0	贊	0.9714
曝	0	握	0.9705
煩	0	殖	0.9699
羌	0	宪	0.9607
狹	1	俠	0.9780
蔑	0	费	0.9681
酮	0	胴	0.9692
姦	0	姿	0.9640
懂	0	僅	0.9607
鸭	0	鴨	0.9705
殴	0	欧	0.9572
馳	0	駒	0.9608
盒	0	舍	0.9720
牝	0	北	0.9698
茄	0	节	0.9612
歉	0	軟	0.9727
膏	0	言	0.9555
閘	0	閩	0.9720
薯	0	署	0.9769
醜	0	晩	0.9641
亘	0	旦	0.9669
匪	0	匡	0.9545
倚	0	骑	0.9674
厩	0	观	0.9686
戌	0	戊	0.9877
醤	0	醫	0.9683
剿	0	剰	0.9656
茹	0	姑	0.9725
捲	0	捧	0.9669
脏	0	斯	0.9654
偿	0	尝	0.9651
惣	0	綾	0.9646
噌	0	贈	0.9740
鵜	0	鴉	0.9752
壺	0	詩	0.9513
淋	0	彬	0.9749
沛	0	沖	0.9688
喰	0	哈	0.9625
渊	0	淑	0.9605
膽	0	腹	0.9579
铸	0	鋳	0.9666
懇	0	墾	0.9552
濤	0	灣	0.9559
衙	0	衛	0.9765
罩	0	章	0.9600
丼	0	井	0.9721
厝	0	層	0.9773
砖	0	转	0.9706
髙	0	高	0.9637
兜	0	児	0.9487
杵	0	杆	0.9809
壱	0	它	0.9502
昨	0	唯	0.9617
劝	0	効	0.9740
茜	0	萬	0.9644
崛	0	幅	0.9642
渭	0	滑	0.9795
沫	0	妹	0.9726
夭	0	矢	0.9768
疇	0	割	0.9538
辐	0	辑	0.9762
誼	0	請	0.9608
啤	0	聘	0.9659
厨	0	尉	0.9618
铅	0	硝	0.9724
洁	0	浩	0.9823
彝	0	擎	0.9637
抢	0	枪	0.9693
懼	0	罹	0.9671
绥	0	缓	0.9740
雛	0	键	0.9499
丛	0	从	0.9576
棍	0	棉	0.9856
毘	0	昆	0.9792
琦	0	埼	0.9884
丕	0	不	0.9653
奢	0	客	0.9683
蘿	0	縛	0.9667
劾	1	効	0.9746
穎	0	顆	0.9761
斌	0	賦	0.9699
炼	0	姊	0.9737
鱗	0	磷	0.9689
蝙	0	麺	0.9713
荐	0	存	0.9737
荡	0	读	0.9642
楓	0	風	0.9623
砦	0	岩	0.9716
绵	0	綿	0.9805
鷺	0	鷲	0.9731
鋪	0	舗	0.9831
隕	0	惧	0.9599
侄	0	俘	0.9640
窩	0	龍	0.9570
騨	0	觀	0.9731
迂	0	迁	0.9691
栓	0	検	0.9779
穗	0	穂	0.9898
琼	0	掠	0.9864
娯	1	娛	0.9741
溃	0	淀	0.9752
侮	0	悔	0.9797
嘩	0	轄	0.9641
斧	1	姿	0.9586
仗	0	伎	0.9768
棘	0	琳	0.9665
摆	1	擇	0.9791
蔬	0	惹	0.9688
栏	0	档	0.9643
陛	0	階	0.9688
夥	0	移	0.9603
綺	1	骑	0.9784
债	0	傍	0.9717
蔚	1	尉	0.9724
熹	0	喜	0.9677
烤	0	烯	0.9775
蜘	0	城	0.9656
嘘	0	虚	0.9687
橿	0	標	0.9733
奋	0	吞	0.9584
諦	0	諱	0.9747
麒	0	購	0.9615
擋	0	摘	0.9778
舘	0	錦	0.9790
曇	0	輩	0.9557
淚	0	涙	0.9894
痴	0	病	0.9677
堕	0	望	0.9567
鉢	1	検	0.9641
鸦	1	鴉	0.9754
躲	0	裸	0.9793
噪	0	操	0.9602
溺	0	撥	0.9520
颠	0	頻	0.9770
鵝	0	製	0.9608
櫓	0	穫	0.9717
摺	0	習	0.9721
苔	0	蓄	0.9569
饶	0	绕	0.9850
鮎	0	點	0.9600
咤	0	到	0.9634
偕	0	借	0.9699
庐	0	启	0.9654
辜	0	幸	0.9759
苹	0	芋	0.9740
擢	0	躍	0.9800
晤	0	暗	0.9781
睿	0	蓉	0.9626
彎	0	變	0.9669
皖	0	暁	0.9632
壹	0	臺	0.9653
薔	0	藍	0.9566
楷	0	桿	0.9755
袍	0	砲	0.9637
煽	0	編	0.9688
瑛	0	英	0.9720
緻	0	徽	0.9733
顷	0	项	0.9824
攘	0	壤	0.9812
嘛	0	麻	0.9625
嬢	0	壌	0.9734
趾	0	址	0.9551
渝	0	鈴	0.9646
竭	0	褐	0.9794
槓	1	積	0.9818
銳	0	鋭	0.9691
踐	0	毀	0.9612
烹	0	崇	0.9676
嬉	0	婦	0.9785
淹	0	俺	0.9689
瘍	0	場	0.9671
舵	0	琉	0.9653
錠	0	鎮	0.9720
酯	0	呼	0.9646
炊	0	欣	0.9710
酪	0	路	0.9684
樟	0	模	0.9761
薙	0	藩	0.9689
氛	1	氧	0.9727
騷	0	騒	0.9871
眺	0	挑	0.9634
拨	0	拔	0.9825
誅	1	珠	0.9744
愁	0	悉	0.9630
拯	0	榎	0.9693
奄	1	俺	0.9753
浏	0	渕	0.9765
咬	0	校	0.9726
嚇	0	赫	0.9671
荔	0	勃	0.9542
孚	0	浮	0.9611
楕	0	精	0.9790
鯉	1	舗	0.9635
渚	0	诸	0.9753
渥	0	涯	0.9745
冤	0	究	0.9629
敖	0	放	0.9748
饼	0	餅	0.9754
梧	1	桿	0.9816
踢	0	賜	0.9692
籤	0	發	0.9676
橄	0	梗	0.9721
紺	0	紳	0.9776
啦	0	拉	0.9711
宕	1	岩	0.9671
膀	0	勝	0.9743
冗	0	几	0.9585
岱	0	储	0.9582
斋	0	裔	0.9668
犀	1	層	0.9597
貶	0	賊	0.9657
刪	0	珊	0.9579
鹏	1	鵬	0.9810
恪	0	格	0.9806
莞	0	完	0.9593
壢	0	歷	0.9710
瀕	1	頻	0.9708
歼	0	祇	0.9647
