र	1854830	1
न	1227291	1
क	1158662	1
स	1158430	1
त	1005267	1
।	838491	1
म	817503	1
प	806006	1
व	781881	1
अ	780457	1
का	744209	2
ल	743593	1
य	621783	1
ग	575942	1
मा	542535	2
ह	534195	1
रा	524937	2
के	514470	2
ए	463036	1
आ	461293	1
ना	446665	2
वि	433585	2
को	432108	2
ज	426740	1
ने	403404	2
ता	383841	2
या	372008	2
ब	366465	1
उ	363230	1
द	361963	1
प्र	358468	3
इ	353070	1
ला	342346	2
वा	336058	2
ति	330488	2
नि	327737	2
सा	319400	2
ले	302942	2
श	301599	1
में	290957	3
भा	269209	2
है	258226	2
की	257798	2
से	257441	2
ण	255108	1
च	254899	1
पा	239292	2
१	233400	1
ट	232754	1
ती	230761	2
हा	223579	2
सं	222030	2
जा	219463	2
री	210952	2
रि	210824	2
भ	208743	1
ते	206919	2
रू	203491	2
ई	197621	1
कि	195265	2
-	189202	1
बा	187371	2
नी	183593	2
दे	183135	2
दि	180221	2
स्य	176054	3
हो	175399	2
०	171149	1
लि	170383	2
औ	164346	1
यो	150932	2
ली	150701	2
म्	149093	2
त्र	149022	3
दा	148045	2
पु	145690	2
हि	145168	2
हे	142997	2
चा	140826	2
रे	138489	2
२	138298	1
ख	133248	1
था	131824	2
मि	131100	2
मु	130981	2
शा	124071	2
ड	121817	1
९	119557	1
ध	118897	1
गा	116227	2
सि	112333	2
न्	109443	2
जि	105886	2
पू	104459	2
धा	102945	2
हु	102577	2
.	101665	1
मे	101544	2
त्	100605	2
ही	99105	2
शि	97281	2
सी	96670	2
नु	96532	2
ष	96195	1
वे	95790	2
च्या	95131	4
थ	93401	1
पि	90356	2
रो	88451	2
जी	88026	2
हैं	87382	3
छ	86852	1
सु	86618	2
स्था	84608	4
प्रा	84358	4
कु	84242	2
रु	81804	2
लो	81368	2
चे	80993	2
धि	80280	2
चि	79706	2
दी	78550	2
भी	78454	2
ची	78376	2
ये	76905	2
णि	76190	2
क्ष	75781	3
मी	73944	2
५	71795	1
णा	71556	2
८	71119	1
त्य	70332	3
र्व	69764	3
यु	69002	2
३	68406	1
४	66042	1
कृ	65930	2
घ	64912	1
६	64174	1
७	62802	1
सू	60240	2
भि	60047	2
खा	59226	2
व्य	57521	3
र्य	57497	3
तः	57168	2
षा	56888	2
त्या	56279	4
फ	55973	1
द्ध	55880	3
गु	55407	2
गो	52970	2
ळ	52560	1
तु	52547	2
स्व	51758	3
दु	51728	2
तो	50784	2
रं	50131	2
र्ण	50061	3
त्त	49896	3
ज्ञा	49388	4
जो	48948	2
क्षे	47787	4
न्त	47636	3
मो	47226	2
टा	45892	2
न्द	45263	3
वी	45191	2
श्व	45065	3
नं	44541	2
म्ब	44313	3
न्य	44181	3
ल्या	43792	4
स्ति	43790	4
डा	43436	2
भू	43214	2
मं	43106	2
गी	42996	2
शे	42910	2
शी	42621	2
ज्य	42383	3
थि	42376	2
वं	42170	2
न्ति	42131	4
स्त	41992	3
र्म	41853	3
डी	41827	2
द्वा	40883	4
ध्य	40616	3
धी	40437	2
क्त	39707	3
तं	39305	2
न्छ	38903	3
ठ	38792	1
स्थि	38745	4
गि	38260	2
बि	38180	2
थे	38133	2
डि	37984	2
टी	37677	2
र्थ	37326	3
ग्र	37149	3
यां	36842	3
पे	36825	2
खे	36566	2
णी	36293	2
अं	36288	2
दो	36038	2
व्या	35784	4
क्र	34925	3
गे	34873	2
ण्ड	34821	3
यों	34355	3
सो	34321	2
बे	34074	2
र्ष	33899	3
खि	33736	2
बी	33730	2
द्या	33694	4
मू	33610	2
जु	33497	2
न्न	33408	3
नां	33230	3
टे	32987	2
ध्ये	32944	4
क्रि	32699	4
जे	32607	2
दू	32387	2
ओ	32030	1
र्भ	31952	3
णे	31934	2
क्षा	31610	4
क्षि	30848	4
ठी	30806	2
नो	30511	2
फि	30349	2
र्ग	30335	3
क्ति	30173	4
पी	29853	2
टि	29825	2
ण्या	29616	4
वै	29539	2
प्त	29503	3
झा	29365	2
श्री	29016	4
शु	28031	2
यं	27904	2
यः	27899	2
हीं	27862	3
त्रा	27660	4
षु	27625	2
थी	27470	2
द्र	27358	3
ख्या	27200	4
स्ता	26660	4
र्मा	26653	4
स्कृ	26489	4
डे	26357	2
लं	26267	2
ओं	26203	2
इं	26135	2
न्या	26039	4
त्व	26015	3
न्म	25742	3
र्त	25662	3
ल्ला	25254	4
ऽ	25212	1
,	25195	1
ळा	25167	2
स्ट	24730	3
ऑ	24631	1
वृ	24599	2
बु	24569	2
कं	24551	2
ष्ट	24460	3
बो	24425	2
बं	24340	2
ड़	24293	2
मृ	23882	2
पो	23517	2
दृ	23488	2
श्य	23423	3
स्का	23181	4
र्श	23118	3
त्रि	22989	4
जू	22955	2
र्वे	22679	4
ख्य	22245	3
नों	22195	3
न्द्र	22004	5
सिं	21641	3
शो	21606	2
हाँ	21586	3
त्यां	21542	5
द्य	21434	3
श्चि	21384	4
नै	21177	2
ठा	21120	2
याः	20616	3
कां	20385	3
ऊ	20296	1
स्प	19766	3
स्थ	19646	3
म्प	19517	3
यि	19474	2
त्री	19453	4
ह्य	19394	3
सः	19351	2
लु	19276	2
ध्या	19122	4
पं	19116	2
ग्री	19116	4
याँ	19067	3
र्वा	19054	4
जै	19023	2
स्वा	18916	4
ञ्च	18665	3
ऐ	18366	1
ग्रे	18311	4
कै	18302	2
र्च	18210	3
ष्ट्र	18113	5
ङ्ग	18065	3
रों	18058	3
घा	18035	2
यी	17916	2
फा	17861	2
ल्म	17854	3
त्म	17801	3
नः	17378	2
स्त्र	17361	5
मै	17349	2
म्ह	17179	3
रः	17166	2
’	17091	1
र्षे	17040	4
धु	16979	2
ढ	16970	1
र्मि	16969	4
सै	16967	2
उँ	16963	2
स्मि	16612	4
द्धा	16438	4
न्दी	16415	4
त्वा	16252	4
कः	16217	2
षि	16203	2
बै	16095	2
र्या	15828	4
स्तु	15756	4
र्क	15688	3
