ង	642178	1
ន	510159	1
រ	467434	1
ក	427886	1
យ	363410	1
ប	292868	1
ល	281633	1
ស	279102	1
ម	264267	1
ជា	210981	2
។	185804	1
ត	185109	1
បា	162910	2
វ	160660	1
កា	156173	2
ច	155847	1
មា	139006	2
និ	119330	2
អ	112624	1
ប្រ	105856	3
ស់	102192	2
ដែ	100065	2
ប់	97266	2
ព	96876	1
ព្រះ	94996	4
នៅ	89972	2
សា	86375	2
នា	78685	2
១	78247	1
ក្នុ	72748	4
រា	72365	2
ទ	71479	1
ញ	68971	1
អា	67170	2
មិ	65247	2
គ	64827	1
ល់	63522	2
ក់	62695	2
ទៅ	62481	2
ជ	61219	1
ថា	61069	2
ពី	60266	2
វិ	60129	2
ង់	56700	2
ត្ត	55106	3
០	54892	1
ទី	54280	2
នេះ	50987	3
ត់	50941	2
ភា	50351	2
ហើ	50191	2
ដោ	49301	2
ណា	47982	2
ដ	47925	1
នោះ	46969	3
ទេ	45933	2
តា	45882	2
មួ	44171	2
ន់	42429	2
ទាំ	42250	3
២	41730	1
នៃ	39702	2
ត្រូ	39498	4
តិ	38629	2
ក៏	38370	2
ណ	37324	1
ចំ	36984	2
អ្ន	36933	3
តែ	35403	2
ចា	35256	2
ឆ្នាំ	35192	5
សេ	35068	2
ង្គ	35022	3
ខា	34215	2
ត្រ	34191	3
ដូ	33355	2
គឺ	33173	2
នឹ	32524	2
លោ	32238	2
៩	31322	1
ពេ	30417	2
បុ	30174	2
ហា	30010	2
ឯ	29871	1
ឲ្យ	29866	3
កំ	29066	2
ធ	28546	1
សំ	28283	2
លើ	28239	2
សិ	28190	2
ធ្វើ	27881	4
វា	27761	2
គេ	27627	2
ម្ម	26605	3
ឡើ	26496	2
ពិ	26415	2
ដើ	26263	2
៣	25514	1
លា	25514	2
៥	25454	1
នុ	25449	2
ចិ	25397	2
រិ	25053	2
ប្រា	24727	4
ទា	24594	2
ខ	24529	1
ទ្រ	24436	3
ភិ	23914	2
ពា	23794	2
៤	23623	1
ក្រ	22659	3
មុ	22480	2
ផ	22387	1
ហ	21896	1
ដ្ឋ	21501	3
ឧ	21216	1
យា	21167	2
ស្ស	21150	3
ក្រុ	20886	4
សុ	20831	2
ឡា	20598	2
ត្តិ	20259	4
ឬ	20112	1
ៗ	19986	1
ទ្ធ	19788	3
៨	18933	1
នូ	18882	2
៧	18822	1
ទៀ	18792	2
យោ	18661	2
ពួ	18616	2
រី	18289	2
យ៉ា	18209	3
ពុ	18103	2
ភូ	18009	2
៦	17959	1
ខេ	17656	2
តុ	17654	2
ធា	17359	2
.	17340	1
ចូ	17242	2
គ្នា	17161	4
ខ្លួ	17067	4
អំ	17054	2
ដា	16928	2
គ្រ	16622	3
ដំ	16525	2
ទ័	16190	2
ស្រុ	16113	4
ណ៍	15937	2
កើ	15930	2
ក្រោ	15891	4
មេ	15886	2
ថ្ងៃ	15880	4
សូ	15450	2
ក្ខុ	15424	4
ទុ	15108	2
ន្ត	14926	3
ច្រើ	14925	4
បើ	14884	2
ចេ	14754	2
រួ	14628	2
ដឹ	14505	2
នី	14365	2
ប៉ុ	14267	3
គា	14262	2
រូ	14168	2
ឥ	14105	1
បំ	14014	2
ខ្មែ	13897	4
ទឹ	13893	2
ភ	13844	1
ធិ	13833	2
គ្គ	13681	3
កូ	13509	2
ឃើ	13452	2
តំ	13360	2
ទូ	13269	2
ម្បី	13137	4
ខែ	13066	2
ក្ស	12830	3
នាំ	12545	3
រៀ	12493	2
ក្ខ	12349	3
ក្សា	12240	4
កិ	12201	2
ស៊ី	12195	3
នួ	12101	2
ទិ	12081	2
ក្តី	12049	4
ទំ	12026	2
ដ៏	11950	2
ចៅ	11824	2
ជំ	11809	2
បូ	11639	2
ត្រា	11549	4
-	11398	1
ន្ធ	11394	3
ខ្ញុំ	11388	5
កុ	11336	2
ញ្ញា	11295	4
ឱ្យ	11282	3
ទួ	11276	2
ម្ពុ	11249	4
ម៌	11206	2
ឈ្មោះ	11147	5
លេ	11143	2
ន៍	11064	2
៖	10929	1
ឃុំ	10929	3
យើ	10922	2
ជី	10898	2
តាំ	10859	3
ញា	10732	2
ដី	10680	2
រុ	10536	2
ហេ	10531	2
ន្ទា	10466	4
គោ	10341	2
ម្នា	10259	4
ដ្ឋា	10210	4
ស្រ	10121	3
លិ	10111	2
ច្ច	10084	3
ណៈ	9857	2
សី	9733	2
ធំ	9408	2
បែ	9372	2
ប្ប	9131	3
ក្យ	9131	3
រឿ	9124	2
ព្រ	9022	3
ភ្នំ	8986	4
ហៅ	8912	2
បិ	8805	2
សោ	8787	2
ព្រោះ	8768	5
ជួ	8761	2
យុ	8758	2
ស្រី	8725	4
ជិ	8667	2
ទ្យា	8613	4
ប្រើ	8497	4
ព័	8465	2
ព្វ	8394	3
ម្រា	8350	4
ច្បា	8272	4
លី	8267	2
វេ	8231	2
សួ	8202	2
រំ	8093	2
ជើ	8037	2
ន្ទ	8033	3
ផ្លូ	7929	4
មែ	7904	2
ម៉ា	7903	3
ត្វ	7804	3
មើ	7764	2
ពោ	7741	2
ចុះ	7663	3
សៀ	7627	2
ទើ	7602	2
ម័	7566	2
ច់	7563	2
ធី	7538	2
រោ	7524	2
ងា	7489	2
តី	7469	2
ក្ដី	7465	4
ហូ	7389	2
