ക	675298	1
ർ	537348	1
വ	505892	1
ൽ	494598	1
യ	408602	1
യി	388046	2
അ	386157	1
ര	352788	1
ന	338973	1
മാ	329907	2
ത്തി	312369	4
പ	309997	1
മ	307715	1
ൾ	293532	1
വി	280742	2
രു	280624	2
ല	276450	1
ന്ന	272628	3
ൻ	263985	1
ത	259492	1
തി	252682	2
ങ്ങ	244352	3
നി	243093	2
എ	226688	1
രി	226350	2
സ	197492	1
ക്കു	191747	4
ഇ	190874	1
ന്നു	190460	4
ട	184069	1
ണ്	179210	2
ആ	177101	1
ടെ	165626	2
പ്ര	160823	3
കാ	157948	2
യു	139826	2
യാ	136416	2
ന്റെ	135754	4
ളി	132303	2
നാ	130631	2
ണ	129754	1
ടു	127429	2
മു	123265	2
രാ	122491	2
ക്ക	121241	3
ഉ	121227	1
ള്ള	120981	3
ത്	120737	2
ലെ	119637	2
ഗ	119036	1
റ	116066	1
യും	114229	3
ഒ	111435	1
വാ	106451	2
റി	97635	2
സി	97488	2
ശ	96896	1
ള	95312	1
കു	94139	2
ടി	93782	2
ക്കാ	91719	4
നു	91333	2
ജ	88741	1
പ്പെ	88476	4
തു	85194	2
ലി	85001	2
സം	84542	2
താ	84108	2
മി	79932	2
ച്ച	78741	3
പു	77837	2
ത്ര	76095	3
ചെ	75757	2
ത്ത	74719	3
.	74682	1
സ്	74658	2
പി	73738	2
ഷ	73151	1
ലാ	72483	2
ഹ	69580	1
സാ	69410	2
ച്ചു	67710	4
പാ	66273	2
ഭാ	65701	2
ച	65572	1
ണ്ട്	65132	4
ക്ക്	64865	4
-	64286	1
ട്ട	63947	3
രം	62812	2
ദ	62737	1
ബ	62108	1
ഈ	61641	1
ളു	61161	2
ഭ	61115	1
ന്ന്	59691	4
യോ	59454	2
വും	56246	3
ട്ടി	55125	4
ലും	54430	3
നെ	54190	2
ണി	53733	2
ത്തു	53310	4
ചി	53169	2
ട്ടു	52474	4
1	52449	1
നം	51761	2
കൊ	50858	2
ത്തെ	50610	4
ക്കി	49715	4
ന്	49333	2
ന്നി	49174	4
പ്പി	48386	4
വേ	48060	2
ധാ	48053	2
ച്ചി	47966	4
റ്റ	45823	3
കി	45672	2
ലു	45299	2
ത്ത്	45017	4
കൂ	44769	2
ദേ	44754	2
ഏ	44750	1
കോ	43851	2
ഴി	43491	2
ല്ല	43208	3
ണ്ടാ	42375	4
ദി	41948	2
ധി	41629	2
ളും	41521	3
മേ	40292	2
സ്ഥാ	39914	4
കേ	39894	2
ൺ	38868	1
ച്ച്	38803	4
രെ	38684	2
ക്ഷ	38413	3
തെ	38355	2
ന്നാ	38080	4
ദ്ദേ	38012	4
ണം	37083	2
വെ	36732	2
ജി	36710	2
റു	36676	2
ലം	36426	2
ഹി	36365	2
പ്പ	36268	3
ഖ	35991	1
ശി	35906	2
ഗി	34616	2
മൂ	34583	2
പോ	34530	2
യെ	34426	2
ഡി	34110	2
നേ	33830	2
9	33823	1
മെ	33806	2
ന്നും	33592	5
ശാ	33302	2
ലേ	33096	2
ഭി	32827	2
ലോ	32586	2
ഓ	32413	1
ഹാ	31883	2
ധ	31866	1
ഴ	31854	1
ളാ	31565	2
ട്	31565	2
വു	30843	2
ങ്ങി	30461	4
ളെ	28748	2
പേ	28625	2
നും	28523	3
ബി	28326	2
ന്ത	28218	3
0	28121	1
റ്റി	27218	4
ബാ	27043	2
കൃ	26960	2
ത്താ	26887	4
നോ	26814	2
ഡ്	26263	2
യം	25616	2
ഘ	25500	1
രോ	25320	2
ഹം	25172	2
ശേ	25143	2
ദ്ധ	25024	3
സു	24884	2
ജീ	24602	2
ക്ഷേ	24564	4
ദ്യ	24115	3
മ്പ	24047	3
രീ	23784	2
2	23596	1
ങ്കി	23433	4
ന്നെ	23037	4
ഴു	22985	2
ണ്ടി	22933	4
ത്രം	22677	4
ന്ത്യ	22635	5
ര്യ	22396	3
റ്റ്	22389	4
ക്കും	22255	5
ണ്ടു	22161	4
ഥ	22143	1
വ്യ	21981	3
രൂ	21971	2
ഡ	21850	1
സ്വ	21317	3
പൂ	21245	2
ത്യ	21132	3
നീ	20934	2
ല്ലാ	20893	4
പ്പോ	20716	4
മീ	20633	2
ദാ	20441	2
ളം	20074	2
ഗ്ര	19837	3
തീ	19818	2
റാ	19808	2
ണു	19783	2
ഷി	19711	2
യ്യു	19657	4
വ്	19512	2
വീ	19427	2
സെ	19336	2
ക്ഷി	19258	4
ട്ട്	19187	4
ഷം	19079	2
പ്രാ	19034	4
ഞ്ചാ	18968	4
മ്മ	18940	3
ന്നീ	18900	4
സ്ഥ	18861	3
ചാ	18827	2
കം	18734	2
പ്പു	18665	4
മോ	18556	2
ഗാ	18318	2
റ്റു	18235	4
റോ	18170	2
കെ	18109	2
റെ	18044	2
ജാ	17527	2
തോ	17497	2
പെ	17474	2
ലൂ	17285	2
ബം	17173	2
ഷ്യ	16942	3
ണ്ട	16935	3
ക്	16764	2
ന്മാ	16677	4
ടാ	16370	2
ള്ളി	16136	4
8	15903	1
ജ്യ	15790	3
സ്ത	15739	3
ക്ര	15655	3
ഫ	15457	1
ചേ	15447	2
ഭൂ	15418	2
സൂ	15417	2
ഗ്രാ	15280	4
ഗോ	15257	2
വൈ	14315	2
യൂ	14280	2
ഗം	14277	2
മ്മി	14192	4
പൊ	14053	2
വം	14028	2
ന്ദ്ര	14000	5
സ്ഥി	13976	4
ഐ	13895	1
ക്രി	13881	4
രേ	13833	2
ശ്ര	13607	3
തം	13592	2
ഗു	13590	2
ണാ	13555	2
ഗീ	13427	2
ത്തോ	13416	4
ക്കോ	13406	4
ശം	13403	2
ങ്ക	13381	3
യ്തു	13335	4
ഫ്	13282	2
ത്തേ	13224	4
ണ്ണ	13170	3
പ്പാ	12967	4
യേ	12803	2
7	12561	1
5	12453	1
സോ	12428	2
രും	12421	3
തൃ	12379	2
ഷ്	12186	2
6	12113	1
ഞ്ഞ	11974	3
ണെ	11916	2
ചു	11863	2
തും	11849	3
ശ്രീ	11790	4
ജോ	11706	2
പ്പ്	11576	4
ന്ധ	11467	3
മം	11467	2
ശു	11426	2
സ്ത്ര	11414	5
റ്റാ	11412	4
സ്കാ	11323	4
ബോ	11233	2
3	11190	1
ഫി	10762	2
ക്തി	10746	4
സൈ	10712	2
ട്ടാ	10656	4
ന്റ്	10604	4
നൂ	10493	2
യ്ക്കു	10483	6
അം	10465	2
ബു	10446	2
ണ്ണി	10444	4
ഗ്	10441	2
വ്യാ	10423	4
4	10392	1
സ്വാ	10388	4
ന്ദ	10334	3
ക്ത	10307	3
ശീ	10305	2
