า	3255205	1
น	2229965	1
เ	1849991	1
ร	1790547	1
ง	1740479	1
อ	1737123	1
ก	1530150	1
ม	1118508	1
ย	1054200	1
ะ	903285	1
ล	855280	1
ว	790404	1
แ	713788	1
บ	663304	1
ส	642314	1
ค	638424	1
ด	603064	1
ห	598334	1
พ	537669	1
ท	508676	1
ต	496213	1
ป	453833	1
ใ	434067	1
ไ	424785	1
โ	412392	1
ศ	365826	1
จ	362849	1
ช	322603	1
ข	301425	1
ที่	296341	3
ร์	200942	2
ป็	198064	2
.	185024	1
ด้	181554	2
มี	170599	2
ษ	164845	1
วั	161963	2
รั	160131	2
ภ	157081	1
ณ	140746	1
กั	139329	2
รี	137003	2
ริ	126972	2
วิ	122305	2
ต่	117654	2
ธ	117148	1
ลั	115717	2
ติ	105329	2
ว่	104607	2
นั	98377	2
ญ	93340	1
ม่	89480	2
ถ	86934	1
จั	81783	2
ซ	79306	1
ปี	77909	2
นิ	76495	2
ห้	75767	2
กิ	67926	2
ดี	66357	2
ฐ	65407	1
ฟ	64244	1
บั	63891	2
ข้	63111	2
ย์	62640	2
อั	61302	2
สุ	60294	2
ผู้	59965	3
ล้	59000	2
สั	58897	2
ช่	58202	2
ต้	58045	2
ตั	56652	2
ล่	55717	2
ร้	54893	2
ก่	54265	2
รื	53843	2
มื	53811	2
อิ	52516	2
จ้	51225	2
ดิ	50974	2
มิ	48826	2
ผ	48788	1
มั	48207	2
ลิ	47648	2
ๆ	46707	1
พิ	46570	2
พั	46388	2
ช้	46124	2
ดั	45623	2
ส่	45279	2
สิ	45168	2
ทำ	44921	2
สี	44328	2
ยู่	44275	3
ซึ่	44230	3
นี้	44144	3
ถึ	42313	2
ฤ	41791	1
คื	40979	2
มื่	40964	3
ตั้	40700	3
ย่	40396	2
นี	40009	2
ก็	39938	2
ชื่	39771	3
ตำ	39044	2
บุ	38995	2
ชิ	38474	2
สำ	38157	2
จำ	37806	2
ชี	37614	2
ห่	37572	2
รื่	36745	3
ยุ	36743	2
นั้	36442	3
น้	35581	2
ร่	35480	2
ค์	35125	2
ธิ	34571	2
ณ์	34541	2
ขึ้	33574	3
รุ	33311	2
ทั้	33269	3
ต์	32762	2
ยั	31786	2
ลี	31773	2
จุ	30693	2
ทั	30391	2
ตุ	30280	2
ด็	29790	2
อำ	29710	2
รู	29394	2
ฉ	29385	1
อี	29300	2
ฮ	29086	1
น้ำ	28912	3
ปั	28873	2
จิ	28241	2
ที	28100	2
ส์	27363	2
น่	27107	2
กุ	26959	2
ท่	26896	2
อุ	26767	2
รั้	26467	3
สู	26431	2
น์	26220	2
นุ	25764	2
ซี	25711	2
คำ	24412	2
บิ	24183	2
วี	24016	2
ศึ	23381	2
ทิ	23078	2
ศั	22840	2
พื่	22778	3
หั	22231	2
ปิ	22025	2
ถู	21730	2
มู	21540	2
-	21216	1
กำ	21145	2
อื่	20932	3
คั	20750	2
นำ	20311	2
ลู	20198	2
จึ	20107	2
ชั	19943	2
นึ่	19887	3
ดู	19854	2
ญ่	19700	2
ลื	19644	2
ศิ	19524	2
ฎ	19269	1
คุ	19120	2
ว้	18925	2
ม้	18834	2
ด์	18787	2
ฒ	18761	1
ซิ	18552	2
บ้	18430	2
ผ่	18065	2
ล็	17653	2
พุ	17432	2
ภู	17372	2
กี	17253	2
ธ์	17108	2
ทุ	17034	2
พื้	17005	3
ท้	16921	2
คิ	16672	2
ศ์	16349	2
ชุ	16316	2
อ้	16294	2
มุ	16034	2
ร็	15665	2
จี	15603	2
ข่	15154	2
ก้	14897	2
ลี่	14889	3
ลำ	14531	2
ฯ	14295	1
ค่	14158	2
ลุ่	13938	3
ค้	13868	2
ขั	13846	2
ดำ	13816	2
ฟ้	13497	2
ห์	13428	2
ท์	13392	2
พี	13289	2
สื	12866	2
ษั	12710	2
ดื	12699	2
ภั	12678	2
ขี	12335	2
ลุ	12189	2
บี	12140	2
ว์	11862	2
ทั่	11858	3
ยู	11854	2
ฏ	11806	1
ริ่	11785	3
ชั้	11717	3
ล์	11696	2
ตี	11515	2
ธี	11330	2
บ่	11232	2
ฬ	11178	1
ฏิ	11045	2
ญิ	10880	2
พิ่	10694	3
ฟุ	10583	2
ฝ	10520	1
รู้	10453	3
ป์	10440	2
อ็	10401	2
นื	10283	2
บู	10257	2
ษ์	10243	2
รุ่	10115	3
ป่	10099	2
ซ์	10037	2
ปุ่	9940	3
ถุ	9821	2
ตู	9615	2
ญี่	9437	3
คี	9281	2
ฟิ	9238	2
ป้	8980	2
ส้	8724	2
ธั	8529	2
นื่	8354	3
ณี	8346	2
พ์	8306	2
งิ	8252	2
หิ	8211	2
พู	8135	2
อ่	7989	2
ฝ่	7853	2
ดิ์	7844	3
สิ่	7723	3
ห็	7679	2
ดุ	7600	2
มู่	7459	3
ภิ	7381	2
ถื	7303	2
ยี	7212	2
กู	7197	2
ผิ	7082	2
ธิ์	7078	3
พ่	7049	2
1	7027	1
ฮิ	6935	2
ขุ	6915	2
กี่	6806	3
ยิ	6754	2
นื้	6712	3
คู่	6693	3
ธุ์	6687	3
ซู	6460	2
ซั	6368	2
สิ้	6313	3
ศู	6271	2
ลื่	6221	3
บั้	6132	3
สู่	6097	3
นั่	6030	3
2	6013	1
รั่	6000	3
ชั่	5910	3
ถ้	5750	2
ย้	5677	2
วุ	5660	2
ด่	5621	2
ณิ	5529	2
ฆ	5510	1
นู	5497	2
ว็	5381	2
ฑ	5368	1
พ้	5324	2
ธุ	5302	2
“	5189	1
”	5113	1
สึ	5093	2
ต็	5028	2
ชื้	4862	3
ฑิ	4853	2
ฮั	4795	2
ฑ์	4727	2
ฟั	4715	2
สี่	4617	3
น็	4519	2
ทู	4518	2
ซ็	4406	2
ก์	4344	2
0	4290	1
