་	3978614	1
།	798140	1
ས	770477	1
ག	631970	1
ད	596608	1
ང	548165	1
བ	517346	1
ན	498361	1
མ	409926	1
ར	313953	1
པ	309224	1
ལ	293257	1
འ	267325	1
འི	155669	2
དུ	86876	2
དེ	75548	2
ཞི	60247	2
པོ	58301	2
རྒྱ	55743	3
མི	53172	2
ཡི	52207	2
ནི	51479	2
སུ	51273	2
ཀྱི	47149	3
བྱ	46045	2
སོ	45661	2
རི	45013	2
ཡ	42555	1
དོ	42248	2
ཆེ	41066	2
ཁ	40895	1
ཉི	40195	2
ཆོ	37028	2
མེ	36795	2
ཀ	36254	1
གི	36031	2
གྱི	35383	3
བུ	35002	2
ཐ	33611	1
རྣ	32968	2
༌	32346	1
ཅ	32113	1
ཚ	31779	1
གོ	31665	2
ལོ	31360	2
ཡོ	30264	2
མོ	29686	2
ཞེ	28470	2
ཅི	28358	2
འོ	27118	2
ལྟ	26150	2
ཆ	26102	1
ཚོ	25932	2
སེ	25726	2
བྱེ	25581	3
བོ	25346	2
ཐོ	24548	2
ཞ	23851	1
ཟ	22145	1
ཤ	22102	1
དི	21881	2
ཤེ	21661	2
རྒྱུ	21017	4
༔	20841	1
ཕྱི	20699	3
ཐུ	20675	2
ཏུ	19940	2
ཤི	19792	2
རྗེ	19570	3
ཏ	19502	1
གྲོ	19313	3
ཆུ	18431	2
ལུ	18267	2
སྟེ	18050	3
ཁོ	17745	2
ངོ	17697	2
ཏེ	17595	2
གྱུ	17468	3
ལྷ	17364	2
ཕ	17256	1
དྲ	17199	2
བྱུ	17141	3
སྟོ	15624	3
ཚི	15371	2
སྐ	15327	2
ཞུ	15151	2
༡	15007	1
ཙ	14713	1
སྐྱེ	14641	4
རེ	14571	2
ཡུ	14476	2
ཀུ	13946	2
གེ	13694	2
ཀྱ	13456	2
གྲ	13432	2
སྟ	13309	2
ཉ	13091	1
ཅུ	13078	2
ཟི	12902	2
གུ	12871	2
བྲ	12260	2
ཛ	12210	1
ནོ	12163	2
ཚེ	12109	2
ཚུ	12101	2
སྐུ	12087	3
རྟ	12005	2
སྣ	11996	2
ཟླ	11812	2
ལེ	11809	2
ལྡ	11456	2
རོ	11335	2
གྲུ	10925	3
རུ	10870	2
ཟུ	10429	2
ཇི	10423	2
ཟེ	10102	2
ཨ	9957	1
ཛོ	9706	2
རྩ	9529	2
ཕྱོ	9458	3
