char	cp	n_fonts	ink	strokes	merge	ids	in_vocab	in_dense
一	4E00	1	0.4000	1.308	0.8769	1	0	0
丁	4E01	5	0.1823	1.587	0.9843	1	1	0
丂	4E02	5	0.2333	2.627	0.9295	1	0	0
七	4E03	5	0.2400	2.608	0.9701	1	1	0
丄	4E04	5	0.1508	1.371	1.0078	1	0	0
丅	4E05	5	0.1538	1.369	1.0067	1	0	0
丆	4E06	5	0.1917	1.794	0.9661	2	0	0
万	4E07	5	0.2800	3.146	0.9348	1	1	0
丈	4E08	5	0.2692	3.672	0.9334	1	1	0
三	4E09	5	0.2500	1.855	1.0014	1	1	0
上	4E0A	5	0.1846	1.792	1.0072	1	1	0
下	4E0B	5	0.2431	2.033	0.9736	1	1	0
丌	4E0C	5	0.2850	2.568	0.9792	1	0	0
不	4E0D	5	0.2633	3.055	0.9567	1	1	0
与	4E0E	5	0.2723	3.679	0.9533	2	1	0
丏	4E0F	5	0.3281	3.394	0.9821	1	0	0
丐	4E10	5	0.3160	3.329	0.9475	1	0	0
丑	4E11	5	0.3428	3.297	0.9910	1	1	0
丒	4E12	5	0.3623	4.098	0.9578	2	0	0
专	4E13	5	0.2981	4.107	0.9544	1	1	0
且	4E14	5	0.3500	3.205	0.9994	1	1	0
丕	4E15	5	0.3424	3.501	0.9325	2	0	0
世	4E16	5	0.3092	3.896	0.9822	1	1	0
丗	4E17	5	0.3151	3.750	0.9949	1	0	0
丘	4E18	5	0.2769	3.044	0.9646	1	1	0
丙	4E19	5	0.3889	4.354	0.9665	2	1	0
业	4E1A	5	0.3150	3.655	0.9735	1	1	0
丛	4E1B	5	0.3168	3.960	0.9343	3	0	0
东	4E1C	5	0.3013	4.410	0.9424	1	1	0
丝	4E1D	5	0.3504	4.887	0.9413	3	1	0
丞	4E1E	5	0.3833	4.770	0.9602	2	1	0
丟	4E1F	5	0.3733	4.428	0.9770	3	0	0
丠	4E20	5	0.3267	3.849	0.9383	3	0	0
両	4E21	5	0.4028	4.541	0.9956	1	1	0
丢	4E22	5	0.3654	4.877	0.9579	3	0	0
丣	4E23	5	0.4184	4.098	0.9405	1	0	0
两	4E24	5	0.4479	5.048	0.9534	1	1	0
严	4E25	5	0.2768	3.346	0.9923	1	1	0
並	4E26	5	0.3536	4.475	0.9251	2	1	0
丧	4E27	5	0.3538	5.227	0.9607	2	1	0
丩	4E29	5	0.3136	2.058	0.9665	1	0	0
个	4E2A	5	0.1612	2.582	0.9713	2	1	0
丫	4E2B	5	0.1600	2.226	0.9008	1	0	0
丬	4E2C	5	0.3547	2.240	0.9559	1	0	0
中	4E2D	5	0.3007	2.818	1.0175	1	1	0
丮	4E2E	5	0.3216	3.749	0.9762	2	0	0
丯	4E2F	5	0.2894	3.854	0.9868	1	0	0
丰	4E30	5	0.2604	3.413	0.9691	1	1	0
丱	4E31	5	0.3199	3.652	0.8957	1	0	0
串	4E32	5	0.4266	4.375	1.0230	1	1	0
丳	4E33	5	0.4790	5.066	0.9584	1	0	0
临	4E34	5	0.3985	5.036	0.9679	2	1	0
丵	4E35	5	0.3373	5.127	0.9515	2	0	0
丶	4E36	5	0.2576	1.927	0.9024	1	0	0
丷	4E37	5	0.2531	2.511	0.8852	2	0	0
丸	4E38	5	0.2722	3.666	0.9338	1	1	0
丹	4E39	5	0.3031	3.786	0.9441	1	1	0
为	4E3A	5	0.2977	4.017	0.9059	1	1	0
主	4E3B	5	0.2816	3.124	0.9795	2	1	0
丼	4E3C	5	0.3595	4.113	0.9632	2	0	0
丽	4E3D	5	0.4138	5.255	0.9699	5	1	0
举	4E3E	5	0.3254	5.146	0.9267	3	1	0
丿	4E3F	5	0.2639	1.634	0.8247	1	0	0
乀	4E40	5	0.1310	1.951	0.9471	1	0	0
乁	4E41	5	0.1630	1.658	0.9707	1	0	0
乂	4E42	5	0.2356	3.376	0.9465	1	0	0
乃	4E43	5	0.2783	3.187	0.9136	1	1	0
乄	4E44	5	0.2104	2.964	0.9563	1	0	0
久	4E45	5	0.2249	3.433	0.9524	1	1	0
乆	4E46	5	0.2291	3.340	0.9731	1	0	0
乇	4E47	5	0.2530	3.298	0.9270	2	0	0
么	4E48	5	0.2388	3.749	0.9452	2	1	0
义	4E49	5	0.2262	3.723	0.9578	1	1	0
乊	4E4A	5	0.2625	2.957	0.9132	3	0	0
之	4E4B	5	0.2320	3.671	0.8939	1	1	0
乌	4E4C	5	0.3061	3.888	0.9982	2	1	0
乍	4E4D	5	0.2385	3.147	0.9892	1	0	0
乎	4E4E	5	0.2631	3.740	0.9790	1	1	0
乏	4E4F	5	0.2800	4.375	0.9088	2	1	0
乐	4E50	5	0.3092	4.149	0.9330	1	1	0
乑	4E51	5	0.2821	4.592	0.9593	1	0	0
乒	4E52	5	0.2633	3.667	0.9440	2	0	0
乓	4E53	5	0.2633	3.651	0.9482	2	0	0
乔	4E54	5	0.2959	4.619	0.9492	3	1	0
乕	4E55	5	0.4108	5.328	0.9747	2	0	0
乖	4E56	5	0.3477	5.156	0.9483	4	0	0
