index	token_a	token_b	merged
0	4E00	4E00	E000
1	4E00	4E36	E001
2	4E3F	4E5A	E002
3	2FF1	2FF1	E003
4	4E36	52F9	E004
5	4E00	4E28	E005
6	E004	767D	E006
7	4E00	5341	E007
8	4E00	4EBA	E008
9	53E3	2E3B	E009
10	E000	4E36	E00A
11	4E00	2E3B	E00B
12	53B6	2E3B	E00C
13	4E3F	4E40	E00D
14	4EBA	2E3B	E00E
15	4E00	65E5	E00F
16	5341	2E3B	E010
17	E000	4E28	E011
18	4EBB	2E3B	E012
19	2462	4E00	E013
20	2FF1	2FF8	E014
21	5341	53E3	E015
22	E00F	9FB0	E016
23	E000	E005	E017
24	4E5B	4E85	E018
25	65E5	2E3B	E019
26	4E00	4E37	E01A
27	2FF0	E003	E01B
28	56D7	2E3B	E01C
29	E001	E00D	E01D
30	4E28	4E3F	E01E
31	E013	2FF1	E01F
32	E018	2E3B	E020
33	4E00	4E85	E021
34	2462	E007	E022
35	E022	E014	E023
36	2008A	2008A	E024
37	5182	2E3B	E025
38	4E00	4E3F	E026
39	E000	4EBA	E027
40	6708	20087	E028
41	E028	2E3B	E029
42	E00A	4E37	E02A
43	4E00	53E3	E02B
44	6211	2E3B	E02C
45	6728	2E3B	E02D
46	E00A	5341	E02E
47	E000	4E3F	E02F
48	4E5F	E012	E030
49	E01D	8FB6	E031
50	2FF1	2FF9	E032
51	E002	53E3	E033
52	6708	2E3B	E034
53	E000	5341	E035
54	53E3	5973	E036
55	516B	2E3B	E037
56	6B62	2E3B	E038
57	E001	4E3F	E039
58	4E3F	6728	E03A
59	E017	4E37	E03B
60	E001	4E36	E03C
61	5B50	2E3B	E03D
62	5C22	2E3B	E03E
63	4E28	E00E	E03F
64	5FC3	2E3B	E040
65	4EBB	95E8	E041
66	4E85	4E85	E042
67	5B80	2E3B	E043
68	5202	5341	E044
69	E000	E002	E045
70	4E28	E009	E046
71	53E3	5C0F	E047
72	53E3	53E3	E048
73	6765	2E3B	E049
74	2E8A	E00B	E04A
75	E003	2FF1	E04B
76	E008	2FFB	E04C
77	2461	4E36	E04D
78	4E3A	2E3B	E04E
79	6C35	2E3B	E04F
80	E005	4E28	E050
81	E03A	53E3	E051
82	4EE5	2E3B	E052
83	E005	4E3F	E053
84	E02E	E01C	E054
85	E008	53E3	E055
86	4E00	4E5F	E056
87	E056	E010	E057
88	E000	E044	E058
89	E058	E00C	E059
90	2FF0	2FF1	E05A
91	4E37	E033	E05B
92	4E00	5B80	E05C
93	4E3F	516B	E05D
94	5C0F	2E3B	E05E
95	E021	53E3	E05F
96	5C0F	2008A	E060
97	51F5	2E3B	E061
98	5BF8	2E3B	E062
99	7532	2E3B	E063
100	4E3F	E002	E064
101	E05B	8BA0	E065
102	5182	E009	E066
103	E01B	2FFB	E067
104	5BF8	65E5	E068
105	4E36	4E36	E069
106	E001	4E37	E06A
107	E050	E036	E06B
108	81EA	2E3B	E06C
109	4E00	4EBB	E06D
110	E06B	E067	E06E
111	53E3	6728	E06F
112	4E28	51F5	E070
113	4EBA	4EBA	E071
114	E03C	E047	E072
115	E072	E03E	E073
116	4E3F	200CC	E074
117	E070	E061	E075
118	4E00	E002	E076
119	5DFE	2E3B	E077
120	E027	E00C	E078
121	751F	2E3B	E079
122	8002	2E3B	E07A
123	2FF1	4E00	E07B
124	E07B	2FFB	E07C
125	E05F	E032	E07D
126	E07C	E008	E07E
127	961D	200CC	E07F
128	4E5F	2E3B	E080
129	4EBB	E060	E081
130	53C8	E062	E082
131	4E3F	E015	E083
132	E064	4E5A	E084
133	5DE5	2E3B	E085
134	E014	2FFB	E086
135	4E28	5341	E087
136	E000	4E37	E088
