character	level	sequence
㐀	bag	一 卝
㐁	bag	㐁 ⸻
㐂	bag	㇀ ㇀  乚 乚
㐃	bag	△ 丨
㐄	bag	㐄 ⸻
㐅	bag	㐅 ⸻
㐆	bag	㐆 ⸻
㐇	bag	乙 九
㐈	bag	乙 入
㐉	bag	一 乙 亅 ⸻
㐊	atomic_override	㐊
㐋	full	  乙
㐌	bag	也 𠂉
㐍	bag	丿 乙 𭕄
㐎	bag	 乙
㐏	bag	一 乙 𫝀
㐐	bag	乙 
㐑	bag	 乙 夂
㐒	bag_ops	丿 乙  
㐓	bag	一 乙 亅 口
㐔	bag	 乙 口
㐕	bag	乙 由
㐖	bag	 
㐗	bag	丿 乙 乚 耂
㐘	bag	乙 
㐙	bag	乙 豆
㐚	bag	一 乙 口 𫝀
㐛	bag	乙 亻 
㐜	bag	 九 
㐝	bag	乙 勹 
㐞	bag	 乙 八
㐟	bag	乙 非
㐠	bag	丿 乙 乚 
㐡	bag	  九 
㐢	bag	丿 乙  𭕄
㐣	bag	乙 广 車
㐤	bag	 九 
㐥	bag	  乙  𠃌
㐦	bag	②  丿 乙 八 彐 手
㐧	bag	㐧
㐨	bag	乛  亅 龴 龴
㐩	bag	井 井
㐪	bag	 凵
㐫	bag	 
㐬	bag	  
㐭	bag	 
㐮	bag	 井 八 𧘇
㐯	bag	  
㐰	bag	
㐱	bag	人 
㐲	bag	 
㐳	bag	 亻
㐴	bag	 𠂊
㐵	bag	于 亻
㐶	bag	亻 巳
㐷	bag	 
㐸	bag	亻 欠
㐹	bag	 亻 𠂉
㐺	bag	 亻
㐻	bag	 冂
㐼	bag	 
㐽	bag	㐅 亻 几
㐾	bag	 
㐿	bag	亻 手
㑀	bag	 
㑁	bag	 凵 
㑂	bag	 冂
㑃	bag	  𠃌
㑄	bag	亻 
㑅	bag	⺊  𠂉
㑆	bag_ops	 口 ⿰ 
㑇	bag	亻 彐 𠂊
㑈	bag	东 亻
㑉	bag	 几 𠂊
㑊	bag	 亻
㑋	bag	亻 
㑌	bag	 
㑍	bag	 未
㑎	bag	亻 山 
㑏	bag	亻 宀 寸
㑐	bag	⺊  
㑑	bag	亻 自
㑒	bag	 人 
㑓	bag	亻 厶 
㑔	bag	亻 页
㑕	bag	 山 𠂊
㑖	bag	 
㑗	bag	亻 身
㑘	bag	 亻
㑙	bag	亻 耳 𠃊
㑚	bag	 亻 
㑛	bag	亻 束
㑜	bag	 
㑝	bag	  十
㑞	bag	  八
㑟	bag	丘 亻 
㑠	bag	  又
㑡	bag	 卩
㑢	bag	 十 卩 厶
㑣	bag	亻 
㑤	bag	 十 田
㑥	bag	 亻 勹 日
㑦	bag	 尸 犬
㑧	bag	 子 木
㑨	bag_ops	  
㑩	bag	 罒 𠂊
㑪	bag	   亻
㑫	bag	 亻 心
㑬	bag	亻  女
㑭	bag	 亻 田
㑮	bag	亻 冖 車
㑯	bag	亻 頁
㑰	bag	亻 彑 𧰨
㑱	bag	 亻 
㑲	bag	丷 亻  干
㑳	bag	 亻  勹 勹
㑴	bag	亻 冖 又 巾 彐
㑵	bag	 
㑶	bag	 亻 米 𠂉
㑷	bag	⺆  亻 冫 厶
㑸	bag	 亻 
㑹	bag	 曰 由
㑺	bag	 隹 𠄎
㑻	bag	 宀 山 心
㑼	bag	亻  田
㑽	bag	⺌  冖 
㑾	bag	 亻 言 𠂊
㑿	bag	亻  
㒀	bag	 亻 
㒁	bag	  囗 干
㒂	bag	  耂
㒃	bag	  亻 八 目
㒄	bag	亻 
㒅	bag	   𧘇
㒆	bag	   𠃌
㒇	bag	 卌 灬 𠂉
㒈	bag	乛 亻 攵 耳
㒉	bag	⺌ 亻 冖 
㒊	bag	  亻 止 止 
㒋	bag	 亻 八 𠂆
㒌	bag	 亻 八 八 
㒍	bag	 亻 厶 厶 厶 小
㒎	bag	 亻 非
㒏	bag	 亻 
㒐	bag	 亻 勹 日 
㒑	bag	亻 匚 氵 隹
㒒	bag	 亻 未
㒓	bag	  辶
㒔	bag	亻 勹 罒 虫
㒕	bag	 乡 亻 隹
㒖	bag	 十 禺
㒗	bag	 亻  厶
㒘	bag	 亻 又 臣
㒙	bag	  
㒚	bag	 工  𭕄
㒛	bag	亻  隹 
㒜	bag	②   八 彐
㒝	bag	  戊 罒
㒞	bag	④ 亻 山 隹
㒟	bag	⑥  灬 𧘇
㒠	bag	 亻 又 非 𠂊
㒡	bag	   缶 𭕄
㒢	bag	 亻  
㒣	bag	亻 亻 广 心 隹
㒤	bag	亻 耳 耳 耳
㒥	bag	   山 豆
㒦	bag	 十 田 田 田
㒧	bag	㐅  冂 凵 
㒨	bag	③ 㐅  亻 囗 巳 彐
㒩	bag	亻 彑 虫 虫 𧰨
㒪	bag	 止 臣 臣 𧰨
㒫	bag	④  ⸻
㒬	bag_ops	  ⿺
㒭	bag	 
㒮	bag	  𧰨
㒯	bag	⑦ ⺌  
㒰	bag	入 工
㒱	bag	丶 入 𠂊
㒲	bag	入 日
㒳	bag	丨 入 入 冂
㒴	bag	丨 入 
㒵	ordered	白 八
㒶	ordered	八 
㒷	bag	 
㒸	bag	 𧰨
㒹	bag	 且 八 
㒺	bag	  𠃊
㒻	bag	 冂 目
㒼	bag	入 入 巾 廿 ⸻
㒽	bag	㔾   冂
㒾	bag	  冂 
㒿	bag	㐅   冂 凵 
㓀	bag	冖 卜
㓁	bag	 ⸻
㓂	bag	 冖 女
㓃	bag	㇀  言
㓄	bag	人 冘 厶 厶 厶 彡
㓅	bag	 
㓆	bag	 冫
㓇	bag	 
㓈	bag	 
㓉	bag	丿 冫 
㓊	bag	 
㓋	bag	 八 冫 
㓌	bag	 
㓍	bag	 冫 厶
㓎	bag	 冫 
㓏	bag	 
㓐	bag	 冫 
㓑	bag	  
㓒	bag	㇀ 丶 乚 人 冫 小
㓓	bag	丷 冂  干
㓔	bag	冫 
㓕	bag	 八 冫 戊
㓖	bag	⑨ 一 冫
㓗	bag	②   冫 小 𠃌
㓘	bag	  𠂊
㓙	bag	 凵
㓚	bag	刂 
㓛	bag_ops	  ⿹
㓜	bag_ops	   ⿹
㓝	bag	井 刂
㓞	bag	 
㓟	bag	刂 皮
㓠	bag	⺊ 
㓡	bag	刂 缶
㓢	bag	刂 
㓣	bag	 
㓤	bag	一 刂 
㓥	bag	⺌ 刂 彐
㓦	bag	一 刂 白
㓧	bag	 
㓨	bag	  
㓩	bag	刂 角
㓪	bag	 艮 𠃌
㓫	bag	  刂
㓬	bag	  刂 𠃌
㓭	bag	人 刂 勹 日 𠃊
㓮	bag	⺆ 一 刂 
㓯	bag	刂 田 
㓰	bag	 刂 田
㓱	bag	 
㓲	bag	 冂  尸
㓳	bag	一 刂 日 龰
㓴	bag	  
㓵	bag	 刂 
㓶	bag	  人 刂 𠃌
㓷	bag	刂 木 自
㓸	bag	刂 𠁁
㓹	bag	 刂 
㓺	bag	 ㇀  乚 刂
㓻	bag	一 刂 止 罒
㓼	bag	丷  刂 木
㓽	bag	刂 宀 山 示
㓾	bag	 八 刂 尸 牛
㓿	bag	  刂 木
㔀	bag	  日
㔁	bag	 刂 豆
㔂	bag	㐄 丶 刂 米 𠂊
㔃	bag_ops	     
㔄	bag	  米
㔅	bag	刂 肅
㔆	bag	刂 旡 旡 日
㔇	bag	 刂 又 弓 𠘧
㔈	bag	丨  非
㔉	bag	刂 
㔊	bag	  
㔋	bag	丶 刂 皿 臣 𠂉
㔌	bag	乑 刂 又 耳
㔍	bag	 刂 
㔎	bag	㠯   凵 
㔏	bag	   刂  口
㔐	bag	 刂 非 
㔑	bag	㠯    𠃌
㔒	bag	八  口 山 隹
㔓	bag	 
㔔	bag	㇣ 
㔕	bag	 乁 
㔖	bag	 𠃍
㔗	bag	 丿 弓 𠃌
㔘	bag	  𠃌
㔙	bag	 
㔚	bag	丿  𠃌
㔛	bag_ops	 𠃌 
㔜	bag	 子 𠃌 𭕄
㔝	bag	 入 入 巾 𠃌
㔞	bag	  
㔟	bag	 九 生 𠃌
㔠	bag	 勹 日 𠃊 𠃌
㔡	bag	㐅  囗 比 𠃌
㔢	bag_ops	     ⿻
㔣	bag	 田 
㔤	bag	 宀  𠃌
㔥	bag	⺆ 丿  厶 罒 𠃌
㔦	bag	  艮 𠃌
㔧	bag	  田 
㔨	bag	 勹 月
㔩	bag	一 勹 十 厶 皿
㔪	bag	⺊ 㐅  丶  囗
㔫	bag	 𠂇
㔬	bag	
㔭	bag_ops	 日 龰  ⿺
㔮	bag	⺆  人 冫  廿
㔯	bag	匚 口 𠘧
㔰	bag	丶 匚 卜 𠂊
㔱	bag	人 匚 臼
㔲	bag	⑤  人 匚
㔳	bag	⑤  几 匚
㔴	bag	 八  田
㔵	bag	 八  巳 巳
㔶	bag	 八  夂 工 日 目
㔷	bag	 匚
㔸	bag	 几 匚 𠂆
㔹	bag	 𠃌
㔺	bag	 
㔻	ordered	一 ③ 十
㔼	bag	十 
㔽	bag	 囗
㔾	bag	㔾 ⸻
㔿	bag	一 丩 ⸻
㕀	bag	㔾 由
㕁	bag	㐅 卩 厶 𠂇
㕂	bag	 厂
㕃	bag	 厂
㕄	bag	②  厂
㕅	bag	厂 甲
㕆	bag	 口
㕇	bag	 厂
㕈	bag	 厂 𧘇
㕉	bag	 厂 
㕊	bag	 厂 月
㕋	bag	 十 
㕌	bag	一 厂 
㕍	bag	厂 隹
㕎	bag	 厂 厶 皿
㕏	bag	厂 斗 豆
㕐	bag	勹 厂 灬 臼
