character	code_hex	rank	freq
이	EA0B	0	8291302
다	EA0C	1	8070204
는	EA0D	2	5767417
에	EA0E	3	5364466
을	EA0F	4	5089057
의	EA10	5	4586571
하	EA11	6	4338446
지	EA12	7	4261778
고	EA13	8	4080045
로	EA14	9	3872962
가	EA15	10	3841114
한	EA16	11	3713490
기	EA17	12	3234682
서	EA18	13	3055594
사	EA19	14	2945407
은	EA1A	15	2942599
대	EA1B	16	2820485
를	EA1C	17	2732063
도	EA1D	18	2604543
해	EA1E	19	2547195
시	EA1F	20	2414141
인	EA20	21	2386286
자	EA21	22	2245448
으	EA22	23	2141437
정	EA23	24	2108082
있	EA24	25	2080543
리	EA25	26	1962392
전	EA26	27	1864874
어	EA27	28	1810333
장	EA28	29	1742615
부	EA29	30	1727905
과	EA2A	31	1670829
들	EA2B	32	1670314
했	EA2C	33	1616942
수	EA2D	34	1614570
아	EA2E	35	1609410
나	EA2F	36	1598563
보	EA30	37	1595710
원	EA31	38	1587587
상	EA32	39	1578394
국	EA33	40	1548514
주	EA34	41	1539535
라	EA35	42	1503534
제	EA36	43	1449520
스	EA39	44	1341077
적	EA3A	45	1313647
성	EA3B	46	1229998
위	EA3C	47	1223661
공	EA3D	48	1175066
경	EA3E	49	1154349
구	EA3F	50	1123041
게	EA40	51	1121247
면	EA4F	52	1119405
동	EA41	53	1111406
관	EA42	54	1104996
일	EA44	55	1096938
회	EA45	56	1092912
만	EA46	57	1083417
소	EA47	58	1036907
그	EA48	59	1008937
선	EA49	60	1004725
것	EA4A	61	985841
비	EA4B	62	979308
여	EA4C	63	971234
진	EA4D	64	968491
문	EA4E	65	963173
화	EA50	66	954810
우	EA53	67	907611
신	EA54	68	902369
조	EA55	69	896081
계	EA56	70	895823
업	EA57	71	862851
중	EA58	72	851995
니	EA59	73	837768
되	EA5B	74	834467
와	EA5C	75	831440
통	EA5D	76	810285
유	EA5F	77	801114
연	EA5E	78	795255
교	EA61	79	784980
용	EA60	80	784086
내	EA68	81	782360
마	EA62	82	778952
생	EA63	83	775580
산	EA64	84	773419
무	EA65	85	759492
치	EA70	86	756951
당	EA66	87	750790
모	EA67	88	743992
발	EA69	89	743361
오	EA6A	90	739262
방	EA6B	91	736387
행	EA6C	92	735761
안	EA6D	93	733679
재	EA6E	94	722353
미	EA6F	95	720201
학	EA71	96	692898
민	EA72	97	685794
실	EA73	98	685379
할	EA74	99	683721
역	EA75	100	682950
영	EA76	101	682911
거	EA77	102	681940
개	EA78	103	663286
며	EA79	104	656677
체	EA7A	105	638563
단	EA7B	106	636922
었	EA7C	107	636852
요	EA7D	108	629708
세	EA7E	109	628961
등	EA80	110	609729
운	EA81	111	604920
된	EA82	112	603938
트	EA84	113	597761
간	EA85	114	581016
러	EA86	115	580492
야	EA87	116	555210
드	EA88	117	554004
분	EA89	118	539497
후	EA8A	119	537913
려	EA8B	120	527423
난	EA8C	121	524909
금	EA8D	122	521395
명	EA8E	123	515881
입	EA8F	124	504758
식	EA90	125	501559
터	EA91	126	501030
반	EA92	127	497733
최	EA93	128	496272
출	EA94	129	491973
현	EA95	130	490424
데	EA96	131	490216
차	EA97	132	489219
강	EA98	133	488855
감	EA99	134	484970
물	EA9A	135	483536
표	EA9D	136	470729
청	EA9B	137	470395
결	EA9C	138	470188
예	EA9F	139	459288
설	EAA0	140	457570
작	EAA1	141	456869
력	EAA2	142	449769
않	EAA3	143	442723
양	EAA4	144	439071
바	EAA5	145	437980
말	EAA6	146	430507
심	EAA7	147	422378
건	EAA8	148	421441
직	EAA9	149	415685
히	EAAA	150	414322
속	EAAB	151	411249
없	EAAC	152	410280
음	EAAD	153	410247
임	EAAE	154	407400
르	EAAF	155	405181
남	EAB0	156	404401
각	EAB2	157	395092
법	EAB4	158	393916
합	EAB5	159	385584
받	EAB6	160	383644
프	EAB8	161	372714
확	EAB9	162	372516
호	EABA	163	369961
달	EABB	164	368134
포	EABC	165	366933
매	EABD	166	364301
종	EABE	167	363971
추	EAC0	168	363284
타	EAC2	169	361299
불	EAC4	170	359762
함	EAC5	171	354533
노	EAC7	172	352383
점	EAC8	173	350646
본	EAC9	174	349992
던	EACA	175	336503
권	EACB	176	335811
활	EACC	177	333367
군	EACD	178	320985
습	EACE	179	318823
크	EACF	180	318710
따	EAD0	181	318327
처	EAD1	182	318192
까	EAD2	183	317964
증	EAD3	184	312923
울	EAD4	185	311756
근	EAD6	186	311062
파	EAD9	187	309303
록	EADE	188	309148
때	EAD8	189	308132
열	EADB	190	307923
두	EADA	191	307638
준	EADD	192	304575
환	EADC	193	303347
배	EADF	194	299972
료	EAE0	195	295506
격	EAED	196	293945
저	EAEA	197	292475
였	EAE1	198	290176
외	EAE2	199	290010
태	EAE3	200	289887
북	EAE4	201	288719
석	EAE5	202	288625
급	EAE6	203	287967
특	EAE7	204	287510
판	EAE8	205	287202
육	EAE9	206	286573
날	EAEC	207	285794
품	EAF0	208	282160
형	EAF1	209	279310
피	EAF2	210	278758
집	EAF3	211	276706
번	EAF4	212	276402
래	EAF5	213	275717
았	EAF7	214	274855
능	EAF8	215	273049
올	EAF9	216	272883
약	EAFB	217	271544
련	EAFC	218	269926
복	EAFD	219	268476
질	EAFF	220	268120
른	EAFE	221	267730
평	EB02	222	259056
천	EB03	223	255201
많	EB96	224	254950
린	EB04	225	253256
목	EB06	226	253149
령	EB23	227	251387
초	EB05	228	250559
같	EBE7	229	249797
승	EB0A	230	245744
됐	EB08	231	245330
책	EB09	232	244289
참	EB0B	233	242608
람	EB0D	234	241253
변	EB0F	235	239298
레	EB10	236	238848
검	EB11	237	237494
김	EB12	238	237112
협	EB14	239	234952
토	EB15	240	234762
편	EB16	241	233421
투	EB17	242	232226
향	EB19	243	230633
술	EB1B	244	228337
밝	EB1C	245	224535
담	EB1D	246	223994
박	EB1F	247	222154
독	EB22	248	216581
병	EB24	249	214836
험	EB26	250	212464
더	EB28	251	209759
항	EB29	252	209388
축	EB2A	253	208765
디	EB2B	254	208743
코	EB2C	255	206269
규	EB2D	256	206165
알	EB2E	257	203905
년	EB2F	258	203629
겠	EB31	259	202454
광	EB32	260	200092
찰	EB33	261	199509
별	EB34	262	199050
께	EB35	263	198574
절	EB37	264	198284
카	EB39	265	198045
버	EB38	266	197012
언	EB3C	267	194333
키	EB53	268	190478
론	EB3F	269	190129
황	EB40	270	188873
새	EBD8	271	185292
든	EB45	272	184695
창	EB47	273	184170
루	EB4A	274	183940
총	EB49	275	182750
앞	EB4D	276	181946
온	EB73	277	181919
혔	EA03 EA23	278	181634
필	EB4B	279	181237
망	EB4E	280	180171
접	EB50	281	178198
농	EB5A	282	172831
취	EB60	283	168007
립	EB62	284	167758
란	EB7E	285	165800
못	EB65	286	164629
충	EB66	287	164141
족	EB67	288	163467
량	EB69	289	162646
살	EB6B	290	160905
졌	EA05 EA24	291	159544
송	EB6E	292	159076
런	EB70	293	158912
획	EB6F	294	158901
높	EB8C	295	154035
택	EB77	296	151363
류	EB84	297	149493
견	EB7C	298	148769
극	EB7D	299	148414
순	EB7F	300	148281
메	EB80	301	148237
또	EA05 EA25	302	146898
씨	EC2F	303	146096
브	EB89	304	145207
맞	EBAA	305	144213
범	EB8A	306	142150
애	EB8F	307	142043
악	EB99	308	141564
길	EBCB	309	141406
돌	EB91	310	140226
름	EBD4	311	139414
티	EB92	312	137155
응	EBC9	313	135510
벌	EBA5	314	135219
철	EBA3	315	134183
존	EB9F	316	134182
친	EB9B	317	133701
막	EBC2	318	131903
손	EBA1	319	130991
워	EBA2	320	130908
너	EBAB	321	127633
누	EBB1	322	125921
움	EBB2	323	125573
져	EBB5	324	124770
늘	EBB8	325	123176
백	EBBA	326	122754
랑	EBBB	327	122662
좋	EBBD	328	122616
느	EBC4	329	121311
침	EBF2	330	120815
완	EBCD	331	118629
페	EC89	332	116362
럼	EBDF	333	115559
염	EBFE	334	115477
측	EC74	335	112777
폭	EC00	336	112163
림	EC19	337	112133
례	EBDE	338	111713
희	EBDD	339	111615
율	ECCC	340	110825
채	EBE1	341	110647
머	EBE4	342	109672
테	EBE6	343	109506
객	EBEA	344	107635
겨	EBEC	345	107140
글	EBED	346	106647
왔	EBEF	347	106154
쟁	EBF3	348	106069
찾	EBF7	349	104989
삼	EBF8	350	104164
플	EBF9	351	104149
곳	EBFB	352	104006
효	EBFD	353	103779
네	EBFF	354	103351
색	EC05	355	100832
센	EC0A	356	100070
즈	EC0B	357	99876
논	EC0F	358	99067
될	EC10	359	98795
베	EC11	360	98730
힘	EC14	361	98159
돼	EC17	362	97693
득	EC49	363	97572
봉	EC30	364	97361
줄	ED04	365	96756
갈	EC26	366	96097
패	EC28	367	94675
탄	EC48	368	94582
걸	EC4F	369	94513
월	EC31	370	94475
넘	ED0C	371	93618
착	EC40	372	91342
쳐	EC2C	373	91116
허	EC2D	374	90518
락	EC2E	375	90058
잡	EC71	376	89829
팀	EC3A	377	88687
익	EC3D	378	87625
커	EC4C	379	87184
렸	EA06 EA2C	380	86643
갖	ED49	381	86158
랜	EC47	382	85078
골	EC56	383	84288
홍	EC4D	384	83410
밀	EC5A	385	81718
액	EC5B	386	81684
쪽	EC63	387	79541
긴	EC69	388	78976
놓	EC6E	389	77978
케	EC6F	390	77973
혼	EC77	391	76739
쓰	EC7C	392	76476
났	EC7F	393	75625
션	EC81	394	75300
럽	EC82	395	75244
폐	EC87	396	74239
징	EC98	397	74138
롯	EC95	398	72554
녀	EC93	399	72177
탈	EC9D	400	71759
훈	ECA2	401	71714
님	ECE6	402	71324
균	ECA6	403	71240
률	ED28	404	70028
답	ECBF	405	69998
램	EA0A EA2E	406	69856
엔	ECA3	407	69686
윤	ECAA	408	69188
귀	ECAC	409	69156
빠	ECAD	410	69156
혁	ECAF	411	69058
앙	ECB0	412	68691
눈	ECB1	413	68509
풍	ECB2	414	68471
렇	ECB7	415	68202
츠	ECC0	416	67188
클	ED13	417	66640
얼	ECC2	418	66324
곡	ECC4	419	65756
끝	ECC9	420	64864
뉴	ECCD	421	64509
퍼	ECD1	422	64168
휴	ECDA	423	63409
왕	ECDB	424	63125
찬	ECEE	425	61719
엄	ECF0	426	61170
융	ECF1	427	61149
붙	ECFE	428	60271
념	ED86	429	60184
째	ED6D	430	59379
암	ED48	431	59321
먹	ED8E	432	59017
블	ED21	433	58984
층	EE0E	434	58541
핵	ED2B	435	58499
퇴	ED10	436	58385
먼	ED1C	437	57771
압	ED69	438	57686
혜	ED32	439	57441
죄	ED15	440	57385
욱	ED1F	441	56860
큼	EA02 EA32	442	56592
숙	ED33	443	56108
닌	EA04 EA32	444	55638
뒤	ED35	445	55523
혹	ED98	446	55499
몰	ED3F	447	55368
싶	ED4F	448	54816
흥	ED62	449	54089
촉	ED74	450	53922
혀	ED6A	451	53905
뜻	ED4B	452	53871
떠	ED5F	453	53549
널	ED55	454	53399
써	ED65	455	53361
릴	ED58	456	53305
볼	ED63	457	52890
냐	ED92	458	51132
켜	ED8B	459	51072
냈	ED82	460	50811
헌	ED8A	461	50551
떨	EA00 EA34	462	50323
템	EA01 EA34	463	50120
덕	EDB8	464	49977
꾸	EE4E	465	49578
끌	EA04 EA34	466	49577
혐	EA05 EA34	467	49070
밖	EA06 EA34	468	48794
끼	EEB6	469	47972
략	EDDF	470	47751
뿐	EDB3	471	46809
욕	EE2D	472	46687
즌	EDDA	473	46651
죽	EE3F	474	46009
콘	EDC9	475	45946
얻	EE94	476	45694
탁	EDDC	477	45529
슬	EDDE	478	45203
굴	EE15	479	45043
낮	EDFF	480	44403
잠	EDF3	481	44329
억	EE20	482	44316
좌	EE07	483	43925
떤	EA00 EA36	484	43844
웃	EDFE	485	42876
틀	EE16	486	42760
풀	EE0D	487	42451
팅	EE08	488	42380
갔	EE11	489	41976
맡	EE17	490	41801
캐	EE1A	491	41555
링	EE54	492	41232
몸	EE28	493	40748
춘	EE2A	494	40632
쿠	EE44	495	40362
낸	EE3A	496	40275
펼	EE67	497	40234
텔	EE39	498	39965
쉽	EE8B	499	39945
벽	EE3C	500	39594
뤄	EA06 EA39	501	39135
즐	EE4C	502	38625
촌	EF00	503	38587
둘	EA09 EA39	504	38549
돈	EE5E	505	38151
쳤	EE7E	506	37794
숨	EF82	507	37671
혈	EEB4	508	37589
룹	EA03 EA3A	509	37100
픽	EEEA	510	36910
핑	EF30	511	36552
웨	F044	512	36505
잘	EE8A	513	36356
십	EF19	514	36178
휘	EE98	515	36082
홈	EEB2	516	35908
칭	EF7C	517	35635
옥	EED2	518	35628
빈	EEF5	519	35204
싸	EEFA	520	35167
놀	F11C	521	35141
납	EECB	522	34996
갑	EF1B	523	34762
델	EA07 EA3B	524	34709
칙	EA08 EA3B	525	34313
벤	EECC	526	34123
캠	EEC5	527	34066
힌	EEC4	528	33998
칠	EF4B	529	33907
턴	EEEC	530	33869
삶	EF2F	531	33634
컨	EF2A	532	33550
듯	EFFC	533	33548
뛰	EEE6	534	33243
슈	EF2D	535	33222
렵	EA08 EA3C	536	33084
롭	EEE3	537	33051
궁	EF13	538	33050
맹	EEF1	539	32967
팔	EF10	540	32660
싱	EEF8	541	32658
털	EF05	542	32466
떻	EA04 EA3D	543	32356
넷	EF12	544	32265
랐	EF07	545	32233
낙	F026	546	32013
깨	F017	547	31986
괴	EF28	548	31565
킨	EF22	549	31532
섰	EA00 EA3E	550	30977
탕	EF4C	551	30678
엇	EF45	552	30549
푸	EF48	553	30506
겼	EA04 EA3E	554	29340
겪	EF93	555	29130
척	EF9A	556	28732
릭	EF90	557	28675
슨	EF91	558	28675
잔	EFA0	559	28402
쉬	EFC7	560	28159
녹	EFC3	561	28128
므	EA01 EA3F	562	28106
폰	EFDC	563	28047
깊	EFAD	564	27860
흐	EFD0	565	27840
웠	EFB0	566	27825
솔	F0AE	567	27782
쇼	EFBE	568	27652
팬	EFBC	569	27540
엘	EFCE	570	27528
졸	EFC0	571	27460
텐	EFC9	572	27428
덧	EFBF	573	27402
빌	EFD1	574	27104
섭	EFD4	575	27053
뢰	F003	576	26981
렌	EFE8	577	26663
헤	EFFD	578	26483
흡	EFF9	579	26412
꽃	F004	580	26164
꿈	F009	581	26077
곤	F00A	582	26068
쇄	F014	583	25959
뜨	F01A	584	25939
둔	F02D	585	25827
춰	F051	586	25786
맛	F147	587	25541
컵	F09C	588	25480
홀	F042	589	25475
흔	F03A	590	25385
짓	F078	591	25362
탑	F073	592	25247
뮤	F039	593	24961
넣	F124	594	24663
맥	F0DD	595	24575
찍	F084	596	24508
셔	F1DC	597	24122
컬	F0A6	598	23961
짜	F080	599	23937
섬	F12A	600	23785
뷰	F091	601	23476
컴	F0A9	602	23444
값	F192	603	23433
읍	F0D0	604	23257
렴	F2A0	605	23241
빛	F301	606	23123
첨	F0E5	607	23097
랫	F0BD	608	22487
폴	EA04 EA42	609	22443
켰	F0DC	610	22329
킬	F10A	611	22238
믿	F157	612	22170
묘	F160	613	22030
빨	EA09 EA42	614	21838
촬	EA0A EA42	615	21837
탐	F120	616	21566
킹	F239	617	21530
짐	F3BC	618	21487
콜	F145	619	21476
봤	F237	620	21475
닥	F33D	621	21032
즘	F331	622	21011
듣	F11D	623	20957
잇	F125	624	20911
흘	F13B	625	20716
폼	EA0A EA44	626	20709
벗	F15B	627	20504
젊	EA01 EA45	628	20378
늦	F256	629	20239
넓	EA03 EA45	630	20209
춤	F19B	631	19957
꼽	F191	632	19936
벨	F1A6	633	19906
뇌	F25E	634	19777
칼	F1AD	635	19692
잃	F352	636	19587
죠	F186	637	19422
읽	F22D	638	19387
냥	F30D	639	19243
땅	EA02 EA46	640	19207
셨	F224	641	19028
》	F39B	642	18925
즉	F1B6	643	18864
얘	F1CB	644	18723
봐	F1E0	645	18436
묻	F1ED	646	18380
펴	F201	647	18188
맨	F2FD	648	17983
첫	F21B	649	17866
딩	F231	650	17659
옮	F233	651	17553
랍	EA03 EA47	652	17528
렀	F251	653	17275
픈	F278	654	17253
틴	F263	655	17116
젝	F25F	656	17088
씩	F2C1	657	16996
슷	EA09 EA47	658	16994
씀	F285	659	16718
몇	F2A9	660	16689
끄	EA01 EA48	661	16626
끊	F2CF	662	16515
튜	F29C	663	16498
앨	F345	664	16411
쌓	F2F8	665	16382
돕	EA06 EA48	666	16329
봄	F317	667	16280
빙	F31C	668	16215
됩	F2B8	669	16145
멀	EA0A EA48	670	16102
륙	EA00 EA49	671	16077
밤	EA01 EA49	672	16062
콩	EA02 EA49	673	16059
짝	EA03 EA49	674	16021
빼	F3EC	675	15997
퓨	F2DD	676	15888
켓	EA06 EA49	677	15850
걱	EA07 EA49	678	15665
줬	F413	679	15532
딸	EA09 EA49	680	15453
웅	F3FD	681	15429
셀	F3CE	682	15406
《	F354	683	15347
삭	F3E4	684	15265
꺼	F3B7	685	15253
긍	F33C	686	15208
냉	F362	687	15090
릉	EA06 EA4A	688	15067
닐	F3C2	689	14982
렉	F377	690	14875
힐	F3D6	691	14790
핀	EA0A EA4A	692	14773
둥	F38C	693	14559
앉	EA01 EA4B	694	14515
겁	F391	695	14458
잉	F3AB	696	14446
맺	F3A7	697	14325
듭	F3F5	698	14248
몬	EA06 EA4B	699	14135
괄	F3E0	700	14073
멘	EA08 EA4B	701	13954
묵	EA09 EA4B	702	13950
튼	F40E	703	13945
슴	F3F2	704	13895
멸	F3F9	705	13872
뷔	F3F3	706	13836
낼	F3FA	707	13818
랙	F40F	708	13810
펜	F409	709	13734
쾌	EA06 EA4C	710	13636
샤	EA07 EA4C	711	13603
쏟	EA08 EA4C	712	13566
씬	EA09 EA4C	713	13380
흑	EA0A EA4C	714	13368
찌	EA00 EA4D	715	13089
뿌	EA01 EA4D	716	13062
렬	EA02 EA4D	717	13026
왼	EA03 EA4D	718	13015
앤	EA04 EA4D	719	12845
닝	EA05 EA4D	720	12712
낌	EA06 EA4D	721	12703
뽑	EA07 EA4D	722	12572
꼬	EA08 EA4D	723	12536
릿	EA09 EA4D	724	12487
뒷	EA0A EA4D	725	12461
밴	EA00 EA4E	726	12410
젠	EA01 EA4E	727	12367
밥	EA02 EA4E	728	12338
ㆍ	EA03 EA4E	729	12327
붕	EA04 EA4E	730	12324
짧	EA05 EA4E	731	12255
